"panel_household_id","wave","wave_date","rotation_group","panel_status","interview_result","household_size","monthly_income","employment_adults","school_children","chronic_illness_any","food_security_score","dwelling_quality_index","asset_index","panel_weight_base","attrition_weight","panel_weight_final","income_change","employment_change","household_size_change"
"PH00001",1,2023-01-01,1,"New","Complete",4,4809,1,2,0,24.6678983000022,44.7329984797033,-0.687027988141629,96.3413256709464,1,96.3413256709464,NA,NA,NA
"PH00001",2,2023-04-01,1,"Continuing","Complete",6,1095,2,1,0,72.8598287584224,46.3010084910315,-0.418628030495576,99.9041165271774,1.2862107882509,128.497752467931,-3714,1,2
"PH00002",1,2023-01-01,2,"Continuing","Complete",5,1730,1,0,1,64.0757253793119,55.4010578407384,-1.80928724062725,109.894092066679,1,109.894092066679,NA,NA,NA
"PH00002",2,2023-04-01,2,"Continuing","Refused",3,3061,2,0,0,40.9051143338165,34.453026129731,0.234118411172258,98.0116591253318,1.12494387410115,110.257615523533,1331,1,-2
"PH00003",1,2023-01-01,3,"Continuing","Complete",3,5194,2,2,0,61.651311600813,48.2980504154834,-1.79317886872131,148.182627207134,1,148.182627207134,NA,NA,NA
"PH00004",1,2023-01-01,4,"New","Complete",5,1175,2,1,0,34.6069148510752,45.8904045520627,1.10730082283189,101.159179047681,1,101.159179047681,NA,NA,NA
"PH00004",2,2023-04-01,4,"New","Partial",4,7744,2,2,0,63.1709417033127,47.5086206244813,0.614013089958364,130.493121747859,1,130.493121747859,6569,0,-1
"PH00004",3,2023-06-30,4,"New","Complete",6,2257,3,2,0,66.0933409735472,70.2234074341897,2.46784791937293,88.7943697441369,1,88.7943697441369,-5487,1,2
"PH00004",4,2023-09-28,4,"Continuing","Complete",2,2528,1,2,0,62.5353817313007,41.8017564078403,0.550548842978968,130.161486994475,1.19459866313264,155.490738354956,271,-2,-4
"PH00005",1,2023-01-01,1,"Continuing","Complete",4,562,1,2,0,66.0921235239022,50.538534704062,0.667512259926265,104.645023639314,1,104.645023639314,NA,NA,NA
"PH00005",2,2023-04-01,1,"Continuing","Complete",3,2750,0,3,0,41.1834201037107,36.381211167708,0.963871939345747,103.218648447655,1.03308392628096,106.633526603718,2188,-1,-1
"PH00005",3,2023-06-30,1,"Attrited","Complete",3,883,1,1,0,98.958141549419,65.7963601846073,1.54770457408297,82.5452264701016,1,82.5452264701016,-1867,1,0
"PH00005",4,2023-09-28,1,"Continuing","Complete",4,1596,1,2,0,71.565223402532,58.6396081308226,1.34732085741837,95.050269397907,1.0109429807635,96.090402667494,713,0,1
"PH00006",1,2023-01-01,2,"Continuing","Complete",3,2062,2,1,0,59.4047552895488,68.5918750198355,-0.781964660568219,82.5756915821694,1,82.5756915821694,NA,NA,NA
"PH00007",1,2023-01-01,3,"Continuing","Complete",6,9364,1,1,0,66.6901150114744,54.9151417510815,0.590318340826747,101.479974589311,1,101.479974589311,NA,NA,NA
"PH00008",1,2023-01-01,4,"New","Complete",4,3374,1,1,1,54.247350591233,38.2050492920807,0.0313100668525779,99.5102914259769,1,99.5102914259769,NA,NA,NA
"PH00008",2,2023-04-01,4,"New","Partial",2,1976,1,0,0,71.4172035987994,31.2787324236676,0.667328115023488,93.9710638462566,1,93.9710638462566,-1398,0,-2
"PH00008",3,2023-06-30,4,"New","Complete",4,1058,2,2,0,71.6730071219902,32.8687183159153,0.831561165047833,103.601964178961,1,103.601964178961,-918,1,2
"PH00008",4,2023-09-28,4,"New","Complete",5,239,2,3,0,73.0887494801086,59.4698938627059,0.383536129860135,139.870825458784,1,139.870825458784,-819,0,1
"PH00009",1,2023-01-01,1,"New","Complete",5,802,3,1,1,64.2250983640202,61.2292933428067,0.86098828002095,100.450071790256,1,100.450071790256,NA,NA,NA
"PH00010",1,2023-01-01,2,"Continuing","Complete",4,2029,0,1,0,56.3309003986307,26.8583558177014,0.429388919716023,103.887686894741,1,103.887686894741,NA,NA,NA
"PH00010",2,2023-04-01,2,"Continuing","Refused",6,2825,2,1,0,50.6450227481457,54.8075200026078,0.156616528673746,144.707981462125,1.28209448177367,185.529304501197,796,2,2
"PH00011",1,2023-01-01,3,"Continuing","Complete",7,1895,2,1,0,84.279415640495,57.1937957278232,-1.57298665084954,141.889043063857,1,141.889043063857,NA,NA,NA
"PH00011",2,2023-04-01,3,"Continuing","Complete",5,5357,1,2,1,80.2158397506398,69.1845652309352,-1.92408178155137,115.909694428556,1.11986196071375,129.802857668494,3462,-1,-2
"PH00011",3,2023-06-30,3,"Continuing","Complete",4,2172,2,3,0,34.8717567928278,48.7729503689955,0.247414284155207,93.7395403184928,1.0943154262146,102.580625016792,-3185,1,-1
"PH00011",4,2023-09-28,3,"Continuing","Complete",6,503,1,2,1,34.5298232061005,40.780247550267,-1.82736827184552,102.327243862674,1.039336205367,106.352409341895,-1669,-1,2
"PH00012",1,2023-01-01,4,"New","Complete",4,1753,2,1,1,74.0327867785436,48.3316531188593,0.312132988250104,100.138440695591,1,100.138440695591,NA,NA,NA
"PH00013",1,2023-01-01,1,"Continuing","Complete",6,5330,0,0,0,66.9496536207935,47.3019534979751,0.280037700902738,143.350839910563,1,143.350839910563,NA,NA,NA
"PH00013",2,2023-04-01,1,"Continuing","Complete",6,2937,1,1,1,18.7904895558632,30.5480029389607,-0.360846258111095,114.114556021523,1.28567156023346,146.71383928554,-2393,1,0
"PH00014",1,2023-01-01,2,"Continuing","Complete",5,1547,1,1,1,87.68600673649,79.5462448280923,0.405173432819142,134.536149769556,1,134.536149769556,NA,NA,NA
"PH00015",1,2023-01-01,3,"Attrited","Complete",1,1008,2,1,1,95.6475309719897,43.9451257440752,-0.68961650887143,80.9564423654228,1,80.9564423654228,NA,NA,NA
"PH00015",2,2023-04-01,3,"Continuing","Complete",4,787,2,1,0,47.1456770080585,55.0348210594287,-4.15730247227259,124.601961770095,1.09072200164665,135.906101150977,-221,0,3
"PH00016",1,2023-01-01,4,"Continuing","Complete",6,1165,1,2,0,87.4744766701997,36.5347186494632,2.02217353555234,128.952934849076,1,128.952934849076,NA,NA,NA
"PH00017",1,2023-01-01,1,"Continuing","Complete",6,5012,3,4,0,81.9934950882385,63.2995108874227,0.375970140092297,82.3470274661668,1,82.3470274661668,NA,NA,NA
"PH00018",1,2023-01-01,2,"Continuing","Complete",4,628,1,3,1,87.4294292892988,69.3605067514696,0.664434242279353,126.186218739022,1,126.186218739022,NA,NA,NA
"PH00018",2,2023-04-01,2,"New","Complete",4,1424,1,1,0,65.4094480457358,47.0038627076563,1.57023407967392,88.4825359657407,1,88.4825359657407,796,0,0
"PH00018",3,2023-06-30,2,"New","Complete",3,1030,1,1,0,72.1673306858651,74.4001137475897,-0.38263880831272,101.556296651252,1,101.556296651252,-394,0,-1
"PH00018",4,2023-09-28,2,"Continuing","Complete",4,1279,2,2,0,61.2977236347677,48.8354094561261,-1.40390903284279,109.617573793512,1.04647393082269,114.711933334942,249,1,1
"PH00019",1,2023-01-01,3,"Continuing","Partial",8,1311,1,2,0,81.3832250639649,44.5309262459335,1.41489341118709,138.43977563316,1,138.43977563316,NA,NA,NA
"PH00020",1,2023-01-01,4,"Continuing","Complete",3,2419,2,1,0,106.169186291121,50.1507473531387,0.757513632255469,83.7875442649238,1,83.7875442649238,NA,NA,NA
"PH00021",1,2023-01-01,1,"Continuing","Not found",4,8263,3,1,0,86.6204294246682,53.950606840566,0.919472482593282,89.6736127021722,1,89.6736127021722,NA,NA,NA
"PH00021",2,2023-04-01,1,"Continuing","Complete",9,6404,2,1,0,55.2086133040721,48.550258511572,-1.12155299115132,125.29955947306,1.21921278215013,152.766824507336,-1859,-1,5
"PH00022",1,2023-01-01,2,"Continuing","Complete",6,961,0,2,0,73.9208602038038,55.565801279074,-0.712052677271679,136.164370626211,1,136.164370626211,NA,NA,NA
"PH00023",1,2023-01-01,3,"New","Complete",4,494,1,0,0,36.5939776885929,46.4884423257475,-0.633554388759762,148.645671883132,1,148.645671883132,NA,NA,NA
"PH00023",2,2023-04-01,3,"New","Complete",7,1470,0,2,0,78.7062917539396,51.3071910653116,0.000447322531936047,106.285290520173,1,106.285290520173,976,-1,3
"PH00023",3,2023-06-30,3,"Continuing","Complete",7,988,1,1,0,37.4592526909091,40.19058407615,-0.557800726440364,117.649311509449,1.29787790027913,152.694441391169,-482,1,0
"PH00023",4,2023-09-28,3,"Continuing","Complete",4,861,2,1,0,78.2265335023093,25.9921499850858,-0.811627484456143,120.484828413464,1.13892320313025,137.222966705261,-127,1,-3
"PH00024",1,2023-01-01,4,"New","Partial",3,5539,1,2,1,112.586655493107,22.6420062439122,0.430357621825716,106.614186533261,1,106.614186533261,NA,NA,NA
"PH00024",2,2023-04-01,4,"Continuing","Complete",1,1036,1,1,1,82.4504531658211,35.3805507168766,-0.480074058882675,98.6407749075443,1.27073961379938,125.346740210884,-4503,0,-2
"PH00024",3,2023-06-30,4,"Continuing","Complete",1,9549,2,1,1,59.4213087339581,34.1660612117474,-1.36867340096992,123.753502520267,1.11787925790995,138.341473561114,8513,1,0
"PH00024",4,2023-09-28,4,"New","Complete",6,653,3,0,0,44.3246610354435,54.3519560438551,-2.26591731480716,117.373617107514,1,117.373617107514,-8896,1,5
"PH00025",1,2023-01-01,1,"New","Complete",7,637,2,2,1,81.3847617912739,53.0757067386535,-0.789075315171542,91.2491571065038,1,91.2491571065038,NA,NA,NA
"PH00025",2,2023-04-01,1,"New","Complete",5,2337,1,2,1,76.1002641304254,61.513992502126,0.646690924821652,105.589900384657,1,105.589900384657,1700,-1,-2
"PH00025",3,2023-06-30,1,"New","Complete",7,2143,2,1,0,37.7812373928324,47.6630542317768,-0.361925233608501,85.3278379328549,1,85.3278379328549,-194,1,2
"PH00025",4,2023-09-28,1,"Continuing","Complete",3,1999,3,1,1,49.6415827211702,60.0505980090014,-0.00963891201672876,83.4198102611117,1.16156320108566,96.8973818408557,-144,1,-4
"PH00026",1,2023-01-01,2,"Continuing","Partial",4,2300,1,1,1,65.7449444066411,39.2733382970552,1.7986968543069,103.755008324515,1,103.755008324515,NA,NA,NA
"PH00026",2,2023-04-01,2,"Continuing","Complete",4,1649,1,3,0,91.684879868057,22.899283072348,-0.564552909596345,91.163282636553,1.26813544386532,115.607389890525,-651,0,0
"PH00026",3,2023-06-30,2,"Continuing","Complete",4,16050,3,2,0,61.2648716582081,62.2477407067073,-0.229868817242812,145.864290946629,1.119180664327,163.248494043234,14401,2,0
"PH00027",1,2023-01-01,3,"Continuing","Complete",3,978,4,2,0,27.5598913272793,19.8620272636201,-0.668103828425937,98.7536889128387,1,98.7536889128387,NA,NA,NA
"PH00027",2,2023-04-01,3,"New","Complete",6,415,3,2,0,80.3852076240503,48.7622056400642,-1.91312008805058,127.887768421788,1,127.887768421788,-563,-1,3
"PH00027",3,2023-06-30,3,"Continuing","Complete",5,1065,2,3,0,25.0540030073308,58.6467391887609,-1.31631325939179,84.3564802710898,1.04881387809291,88.4742472153902,650,-1,-1
"PH00027",4,2023-09-28,3,"New","Complete",3,1877,3,1,1,30.2028159402673,38.0777033311723,-0.993819306744113,135.56046517333,1,135.56046517333,812,1,-2
"PH00028",1,2023-01-01,4,"New","Complete",4,4358,1,2,1,26.0998868002927,54.5876676334253,-0.51367198554698,96.4211990986951,1,96.4211990986951,NA,NA,NA
"PH00029",1,2023-01-01,1,"Continuing","Complete",4,257,1,2,1,70.500279821405,58.1185770733034,0.823893236550218,91.9406203995459,1,91.9406203995459,NA,NA,NA
"PH00029",2,2023-04-01,1,"Attrited","Complete",6,1497,2,2,0,54.7305190333237,37.6683565626374,-0.370627687772028,88.8307480188087,1,88.8307480188087,1240,1,2
"PH00029",3,2023-06-30,1,"New","Partial",8,357,2,2,0,66.0478030601594,46.514584464082,0.306204844281294,105.144749539904,1,105.144749539904,-1140,0,2
"PH00029",4,2023-09-28,1,"Continuing","Partial",3,1393,2,1,1,59.5814066695096,31.7613820081834,-0.201333460655556,141.475177730899,1.25308032990433,177.279762384309,1036,0,-5
"PH00030",1,2023-01-01,2,"Continuing","Complete",3,1633,0,0,0,77.3105683887854,55.3408935355287,0.094731165648278,119.158039956819,1,119.158039956819,NA,NA,NA
"PH00031",1,2023-01-01,3,"Continuing","Not found",4,2665,3,1,0,62.8587635945476,51.0205236237459,-0.0579584892846231,142.963718937244,1,142.963718937244,NA,NA,NA
"PH00031",2,2023-04-01,3,"New","Complete",5,2197,2,2,0,84.5382413885678,6.74608451113196,0.863729691567077,118.91359917121,1,118.91359917121,-468,-1,1
"PH00031",3,2023-06-30,3,"Continuing","Complete",3,796,1,2,0,52.220884113884,45.15158263023,0.323093372260042,137.907861499116,1.11001877784729,153.080315876782,-1401,-1,-2
"PH00031",4,2023-09-28,3,"Continuing","Complete",5,923,1,2,1,43.6828217568392,41.5171802486376,0.842912279964562,135.47269777162,1.05868084412068,143.422350032165,127,0,2
"PH00032",1,2023-01-01,4,"Continuing","Complete",4,4482,2,1,0,58.8290625879064,45.4057876421719,-0.453932042370053,85.6104218377732,1,85.6104218377732,NA,NA,NA
"PH00032",2,2023-04-01,4,"Continuing","Complete",4,5263,2,2,0,111.85931410337,65.3494810556944,-0.622730023822821,148.286510948092,1.02829549112357,152.482350602369,781,0,0
